type_of_request_GET,type_of_request_POST,avg_payload_size,request_rate,failed_requests,label
0.0,1.0,150.0,12.296913674607945,0.0,1
1.0,0.0,0.0,11.938263521583517,2.0,1
1.0,0.0,0.0,9.47934137339093,1.0,1
0.0,1.0,150.0,11.154102331161448,3.0,1
1.0,0.0,0.0,10.479630669018906,0.0,1
1.0,0.0,0.0,9.46029891783357,0.0,1
1.0,0.0,0.0,11.220494752224536,0.0,1
0.0,1.0,150.0,9.34736495306137,2.0,1
1.0,0.0,0.0,13.113022958920299,0.0,1
1.0,0.0,0.0,5.767948565417997,0.0,1
1.0,0.0,0.0,8.8399752229078,3.0,1
1.0,0.0,0.0,12.120206529861456,1.0,1
1.0,0.0,0.0,14.02098873139077,3.0,1
1.0,0.0,0.0,7.746536765114565,2.0,1
0.0,1.0,150.0,10.081022384046843,2.0,1
0.0,1.0,150.0,4.969245103327792,0.0,1
1.0,0.0,0.0,13.302830982972871,0.0,1
0.0,1.0,150.0,10.132565498000154,0.0,1
1.0,0.0,0.0,13.76588394478376,0.0,1
1.0,0.0,0.0,12.225116638153404,2.0,1
0.0,1.0,150.0,9.360664576418262,0.0,1
1.0,0.0,0.0,5.991487186579053,1.0,1
1.0,0.0,0.0,12.24748302036527,1.0,1
1.0,0.0,0.0,7.49949913982581,0.0,1
1.0,0.0,0.0,7.2639543148623185,1.0,1
0.0,1.0,150.0,8.561805116135792,0.0,1
1.0,0.0,0.0,12.424960489692069,0.0,1
1.0,0.0,0.0,9.898201520028682,2.0,1
0.0,1.0,150.0,7.285792476678893,1.0,1
0.0,1.0,150.0,6.501811648804349,5.0,1
0.0,1.0,150.0,16.623855993857422,1.0,1
1.0,0.0,0.0,9.076717628212162,0.0,1
1.0,0.0,0.0,3.209217538766393,1.0,1
1.0,0.0,0.0,9.026816003383114,0.0,1
1.0,0.0,0.0,12.160304188634248,1.0,1
0.0,1.0,150.0,5.356037502737751,1.0,1
0.0,1.0,150.0,14.072938285846671,2.0,1
0.0,1.0,150.0,13.079768876077424,2.0,1
1.0,0.0,0.0,8.699895779881128,1.0,1
1.0,0.0,0.0,11.123558593595257,2.0,1
1.0,0.0,0.0,8.892936129139812,0.0,1
0.0,1.0,150.0,14.939579671230145,0.0,1
0.0,1.0,150.0,12.391576746625578,1.0,1
1.0,0.0,0.0,12.235190533932045,1.0,1
0.0,1.0,150.0,8.352921491375664,0.0,1
0.0,1.0,150.0,16.337911642529413,5.0,1
1.0,0.0,0.0,11.74562760126249,1.0,1
1.0,0.0,0.0,4.651048513917231,1.0,1
1.0,0.0,0.0,12.003374610349027,0.0,1
1.0,0.0,0.0,13.282307318632366,1.0,1
0.0,1.0,150.0,12.833663411186624,1.0,1
0.0,1.0,150.0,9.155250205771047,2.0,1
0.0,1.0,150.0,6.527855000956684,0.0,1
1.0,0.0,0.0,10.744342921611235,0.0,1
1.0,0.0,0.0,14.14469641618093,2.0,1
1.0,0.0,0.0,11.944749807061665,2.0,1
1.0,0.0,0.0,12.035333512696457,1.0,1
1.0,0.0,0.0,11.992605320299129,3.0,1
